id,production companies
20187,Universal Pictures
62697,Paramount Pictures
17599,Universal Pictures
17538,Universal Pictures
27716,Paramount Pictures
595,Universal Pictures
11385,Paramount Pictures
11697,Paramount Pictures
12708,Universal Pictures
506,Universal Pictures
4939,Universal Pictures
7348,Paramount Pictures
39231,Universal Pictures
15421,Paramount Pictures
343,Paramount Pictures
15393,Universal Pictures
31283,Paramount Pictures
10514,Universal Pictures
27236,Universal Pictures
196,Universal Pictures
242,Paramount Pictures
251,Paramount Pictures
11186,Universal Pictures
1669,Paramount Pictures
2119,Paramount Pictures
9362,Universal Pictures
11595,Paramount Pictures
9399,Universal Pictures
41823,Universal Pictures
1727,Universal Pictures
9556,Universal Pictures
19158,Paramount Pictures
20701,Paramount Pictures
32669,Paramount Pictures
41003,Universal Pictures
11060,Paramount Pictures
25943,Paramount Pictures
10485,Universal Pictures
31597,Universal Pictures
18228,Paramount Pictures
28333,Paramount Pictures
15788,Paramount Pictures
10730,Paramount Pictures
5854,Universal Pictures
10518,Paramount Pictures
12584,Paramount Pictures
6883,Universal Pictures
11422,Universal Pictures
15462,Universal Pictures
23479,Paramount Pictures
424,Universal Pictures
329,Universal Pictures
2758,Paramount Pictures
867,Paramount Pictures
6075,Universal Pictures
1587,Paramount Pictures
37233,Paramount Pictures
7984,Universal Pictures
10433,Universal Pictures
8873,Paramount Pictures
2019,Universal Pictures
7305,Paramount Pictures
20339,Universal Pictures
9612,Paramount Pictures
10438,Universal Pictures
4478,Paramount Pictures
12187,Universal Pictures
25389,Universal Pictures
15613,Paramount Pictures
27804,Paramount Pictures
10423,Universal Pictures
2047,Universal Pictures
15278,Universal Pictures
17887,Paramount Pictures
27277,Universal Pictures
2984,Universal Pictures
32489,Universal Pictures
4808,Universal Pictures
24748,Paramount Pictures
15875,Paramount Pictures
18331,Paramount Pictures
744,Paramount Pictures
9377,Paramount Pictures
4978,Universal Pictures
168,Paramount Pictures
10658,Universal Pictures
9671,Paramount Pictures
10136,Paramount Pictures
10466,Universal Pictures
10225,Paramount Pictures
11522,Paramount Pictures
24913,Paramount Pictures
12662,Universal Pictures
13818,Paramount Pictures
13698,Paramount Pictures
9930,Universal Pictures
1890,Paramount Pictures
9277,Universal Pictures
11901,Universal Pictures
12545,Universal Pictures
9040,Paramount Pictures
27331,Universal Pictures
11293,Paramount Pictures
15171,Paramount Pictures
25680,Paramount Pictures
70345,Universal Pictures
9062,Paramount Pictures
11916,Universal Pictures
10671,Universal Pictures
37921,Paramount Pictures
16211,Paramount Pictures
13580,Paramount Pictures
21027,Universal Pictures
2370,Universal Pictures
20391,Paramount Pictures
17529,Paramount Pictures
33166,Paramount Pictures
621,Paramount Pictures
579,Universal Pictures
8469,Universal Pictures
11778,Universal Pictures
11455,Paramount Pictures
16642,Paramount Pictures
26973,Paramount Pictures
15659,Paramount Pictures
24961,Universal Pictures
55457,Universal Pictures
34130,Paramount Pictures
14839,Universal Pictures
12185,Paramount Pictures
31948,Universal Pictures
5780,Universal Pictures
6644,Paramount Pictures
23030,Universal Pictures
28270,Universal Pictures
13343,Universal Pictures
5921,Paramount Pictures
277216,Universal Pictures
100042,Universal Pictures
38985,Universal Pictures
20829,Universal Pictures
17336,Universal Pictures
20662,Universal Pictures
39451,Universal Pictures
11374,Universal Pictures
6522,Universal Pictures
10397,Universal Pictures
634,Universal Pictures
1722,Universal Pictures
217,Paramount Pictures
11499,Universal Pictures
44564,Universal Pictures
2752,Universal Pictures
12778,Universal Pictures
12280,Universal Pictures
19176,Universal Pictures
10601,Universal Pictures
10159,Universal Pictures
584,Universal Pictures
11775,Universal Pictures
1624,Universal Pictures
11015,Universal Pictures
152532,Universal Pictures
254,Universal Pictures
612,Universal Pictures
1581,Universal Pictures
388,Universal Pictures
9975,Universal Pictures
9801,Universal Pictures
693,Universal Pictures
4982,Universal Pictures
2698,Universal Pictures
11519,Universal Pictures
11145,Universal Pictures
87,Paramount Pictures
568,Universal Pictures
11259,Universal Pictures
85,Paramount Pictures
9327,Universal Pictures
10779,Universal Pictures
10543,Universal Pictures
6346,Universal Pictures
9099,Universal Pictures
98,Universal Pictures
8871,Universal Pictures
1597,Universal Pictures
12107,Universal Pictures
1934,Universal Pictures
8838,Universal Pictures
11252,Universal Pictures
89,Paramount Pictures
1552,Universal Pictures
9768,Universal Pictures
951,Universal Pictures
11077,Universal Pictures
12574,Universal Pictures
838,Universal Pictures
453,Universal Pictures
49849,Universal Pictures
9266,Universal Pictures
10588,Universal Pictures
921,Universal Pictures
